time,open,high,low,close,volume
2025-02-06 06:00:00,0.56712,0.56733,0.56712,0.56728,175
2025-02-06 06:15:00,0.56727,0.56733,0.56715,0.56722,180
2025-02-06 06:30:00,0.56721,0.56727,0.56676,0.56683,217
2025-02-06 06:45:00,0.56683,0.56689,0.56654,0.5666,185
2025-02-06 07:00:00,0.5666,0.56688,0.56654,0.56688,257
2025-02-06 07:15:00,0.56688,0.56689,0.56662,0.56666,295
2025-02-06 07:30:00,0.56665,0.56682,0.56655,0.56671,221
2025-02-06 07:45:00,0.56671,0.56673,0.56642,0.56646,233
2025-02-06 08:00:00,0.56647,0.56659,0.56636,0.56639,231
2025-02-06 08:15:00,0.56639,0.56658,0.56638,0.56647,180
2025-02-06 08:30:00,0.56647,0.56668,0.56645,0.56659,197
2025-02-06 08:45:00,0.56659,0.56661,0.56635,0.56649,256
2025-02-06 09:00:00,0.56648,0.56659,0.56618,0.56622,393
2025-02-06 09:15:00,0.56624,0.5664,0.56615,0.56626,310
2025-02-06 09:30:00,0.56625,0.56639,0.56595,0.56602,365
2025-02-06 09:45:00,0.56602,0.56606,0.56566,0.56581,424
2025-02-06 10:00:00,0.56582,0.56605,0.56539,0.56555,458
2025-02-06 10:15:00,0.56555,0.56578,0.56533,0.56533,381
2025-02-06 10:30:00,0.56533,0.56565,0.56516,0.56541,447
2025-02-06 10:45:00,0.56539,0.56561,0.56519,0.56557,322
2025-02-06 11:00:00,0.56557,0.56583,0.56552,0.56561,373
2025-02-06 11:15:00,0.56562,0.56564,0.56513,0.56547,354
2025-02-06 11:30:00,0.56544,0.56577,0.56532,0.56559,351
2025-02-06 11:45:00,0.56558,0.56575,0.56542,0.56561,327
2025-02-06 12:00:00,0.56562,0.56594,0.56559,0.56578,380
2025-02-06 12:15:00,0.56581,0.56614,0.56576,0.56602,339
2025-02-06 12:30:00,0.56602,0.5661,0.56562,0.56569,342
2025-02-06 12:45:00,0.56569,0.56596,0.56569,0.56591,290
2025-02-06 13:00:00,0.56589,0.566,0.56569,0.56579,323
2025-02-06 13:15:00,0.56579,0.56621,0.56576,0.56617,307
2025-02-06 13:30:00,0.56622,0.56622,0.56596,0.56607,321
2025-02-06 13:45:00,0.56606,0.56633,0.56595,0.56597,318
2025-02-06 14:00:00,0.56593,0.56626,0.56566,0.56617,713
2025-02-06 14:15:00,0.56616,0.56616,0.5657,0.56576,475
2025-02-06 14:30:00,0.56576,0.5662,0.56575,0.56616,469
2025-02-06 14:45:00,0.56616,0.56622,0.56575,0.56593,459
2025-02-06 15:00:00,0.56593,0.56603,0.56524,0.56566,580
2025-02-06 15:15:00,0.56566,0.56583,0.56546,0.56583,454
2025-02-06 15:30:00,0.56598,0.56617,0.5656,0.56574,608
2025-02-06 15:45:00,0.56573,0.5658,0.56533,0.56567,574
2025-02-06 16:00:00,0.56569,0.56588,0.56556,0.56575,519
2025-02-06 16:15:00,0.56576,0.56591,0.56556,0.56591,459
2025-02-06 16:30:00,0.56592,0.56632,0.56575,0.5663,614
2025-02-06 16:45:00,0.5663,0.56639,0.56545,0.56549,588
2025-02-06 17:00:00,0.56549,0.56609,0.56541,0.56608,559
2025-02-06 17:15:00,0.56608,0.56636,0.56598,0.56598,580
2025-02-06 17:30:00,0.56597,0.56647,0.56588,0.56632,606
2025-02-06 17:45:00,0.56633,0.56712,0.56633,0.56696,588
2025-02-06 18:00:00,0.56696,0.56731,0.56688,0.56708,557
2025-02-06 18:15:00,0.56709,0.56749,0.56701,0.56733,415
2025-02-06 18:30:00,0.56736,0.5674,0.56694,0.56695,433
2025-02-06 18:45:00,0.56694,0.56707,0.56669,0.56671,356
2025-02-06 19:00:00,0.5667,0.56726,0.56657,0.56721,433
2025-02-06 19:15:00,0.5672,0.56739,0.56709,0.56738,270
2025-02-06 19:30:00,0.56738,0.56738,0.56707,0.56721,326
2025-02-06 19:45:00,0.56721,0.56752,0.56716,0.56748,213
2025-02-06 20:00:00,0.56748,0.56774,0.56712,0.56732,394
2025-02-06 20:15:00,0.56732,0.56772,0.56732,0.5677,332
2025-02-06 20:30:00,0.56767,0.56788,0.56735,0.56787,354
2025-02-06 20:45:00,0.56787,0.56789,0.56735,0.56757,327
2025-02-06 21:00:00,0.56756,0.56763,0.56733,0.56734,258
2025-02-06 21:15:00,0.56733,0.56735,0.56718,0.56722,215
2025-02-06 21:30:00,0.56722,0.56723,0.56704,0.56713,266
2025-02-06 21:45:00,0.56712,0.56736,0.56712,0.56717,255
2025-02-06 22:00:00,0.56712,0.56732,0.56709,0.56726,218
2025-02-06 22:15:00,0.56727,0.56733,0.56718,0.5672,175
2025-02-06 22:30:00,0.56719,0.56735,0.56716,0.56727,223
2025-02-06 22:45:00,0.56726,0.56762,0.56722,0.5676,262
2025-02-06 23:00:00,0.56755,0.56762,0.56743,0.56748,198
2025-02-06 23:15:00,0.56748,0.5676,0.56745,0.5676,137
2025-02-06 23:30:00,0.5676,0.56768,0.56754,0.56756,141
2025-02-06 23:45:00,0.56755,0.56756,0.5673,0.56735,171
2025-02-07 00:00:00,0.56649,0.5675,0.56569,0.56714,64
2025-02-07 00:15:00,0.56727,0.56742,0.56713,0.56719,51
2025-02-07 00:30:00,0.56718,0.56736,0.56712,0.5673,92
2025-02-07 00:45:00,0.56729,0.56741,0.56717,0.56729,93
2025-02-07 01:00:00,0.56729,0.5674,0.56712,0.56728,118
2025-02-07 01:15:00,0.56728,0.56766,0.56724,0.56725,141
2025-02-07 01:30:00,0.56727,0.56746,0.56722,0.56745,129
2025-02-07 01:45:00,0.56746,0.56751,0.56728,0.56734,138
2025-02-07 02:00:00,0.56732,0.56777,0.56732,0.56759,211
2025-02-07 02:15:00,0.5676,0.56765,0.56726,0.56754,232
2025-02-07 02:30:00,0.56754,0.56771,0.56743,0.56755,265
2025-02-07 02:45:00,0.56755,0.56763,0.56746,0.56761,264
2025-02-07 03:00:00,0.56761,0.568,0.56754,0.56778,338
2025-02-07 03:15:00,0.56778,0.56826,0.56777,0.56822,382
2025-02-07 03:30:00,0.56819,0.56833,0.56803,0.56816,428
2025-02-07 03:45:00,0.56817,0.56852,0.56816,0.5684,446
2025-02-07 04:00:00,0.56841,0.56879,0.56838,0.56875,375
