timestamp,event_type,trade_id,action,symbol,direction,entry,sl,tp,volume,pnl,status,reason,balance,hash,previous_hash
2026-03-11T10:38:53.794172,SYSTEM,,KILL_SWITCH_ACTIVATED,,,,,,,,,TEST — automated test run,0,dc7871c4bbe5aab43a5246e9a9f26739154e05685991e8063abb91cf4b227e49,0000000000000000000000000000000000000000000000000000000000000000
2026-03-11T10:39:13.141678,SYSTEM,,KILL_SWITCH_ACTIVATED,,,,,,,,,TEST — automated test run,0,a65f50494118345803fbe699302b988dc5a259001dd34bed6e6fb70ce2440e03,dc7871c4bbe5aab43a5246e9a9f26739154e05685991e8063abb91cf4b227e49
2026-03-11T10:40:36.250088,SYSTEM,,KILL_SWITCH_ACTIVATED,,,,,,,,,TEST — automated test run,0,6424c67624cdb680c02040c5869d43ba3ce0f9dd6401b0f95fb7f4af02fa63ee,a65f50494118345803fbe699302b988dc5a259001dd34bed6e6fb70ce2440e03
2026-03-11T10:41:33.778809,SYSTEM,,KILL_SWITCH_ACTIVATED,,,,,,,,,TEST — automated test run,0,41e6077c8fcf1081c36e55d2a513a0954c29021c0cd77119ffb92df7504fc203,6424c67624cdb680c02040c5869d43ba3ce0f9dd6401b0f95fb7f4af02fa63ee
2026-03-11T10:42:03.416571,SYSTEM,,KILL_SWITCH_ACTIVATED,,,,,,,,,TEST — automated test run,0,5c91de994d42333d8bb0dd6f109af4f4970c88e3eddf16b854ddc2ee0b29a5e0,41e6077c8fcf1081c36e55d2a513a0954c29021c0cd77119ffb92df7504fc203
2026-03-11T10:43:47.816263,SYSTEM,,KILL_SWITCH_ACTIVATED,,,,,,,,,TEST — automated test run,0,e0b773aed9a0dd7e792b2f80e5aface1825d2d8918b06ee13c4f8709b6a6e2c3,5c91de994d42333d8bb0dd6f109af4f4970c88e3eddf16b854ddc2ee0b29a5e0
2026-03-11T10:44:33.198001,SYSTEM,,KILL_SWITCH_ACTIVATED,,,,,,,,,TEST — automated test run,0,9a8091342b8a9a94322fabe67777e9b2d093b3474bf001f786661708031be19a,e0b773aed9a0dd7e792b2f80e5aface1825d2d8918b06ee13c4f8709b6a6e2c3
2026-03-11T11:22:00.976077,SYSTEM,,KILL_SWITCH_ACTIVATED,,,,,,,,,TEST — automated test run,0,96b3c9414dc962095a8d8f898976424ab6b3d935541b79d5ff49370dbafb7c67,9a8091342b8a9a94322fabe67777e9b2d093b3474bf001f786661708031be19a
2026-03-11T11:46:18.013464,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,7252ceff600aca7896996c42c790602b2e812bcdca982cd5b77f2542cc23e1fa,96b3c9414dc962095a8d8f898976424ab6b3d935541b79d5ff49370dbafb7c67
2026-03-11T12:09:51.528790,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,96a2ab9174995bafdbd44b1b7c200c723213e7713885372bb81951e6cc50a1bc,7252ceff600aca7896996c42c790602b2e812bcdca982cd5b77f2542cc23e1fa
2026-03-11T12:26:26.444999,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,9539703d5f6c7dc3d4a488698b8ca26498c078bb5d0f5c914b7c5c911c4f7baf,96a2ab9174995bafdbd44b1b7c200c723213e7713885372bb81951e6cc50a1bc
2026-03-11T14:14:24.868832,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,16f09bafb76b4eafe237303e7968ba864a4b0d81310fba64dac44a50a7cdb0db,9539703d5f6c7dc3d4a488698b8ca26498c078bb5d0f5c914b7c5c911c4f7baf
2026-03-11T14:43:54.687661,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,3a1337e9699e7f9df6be8102d071cdd796ee8a27c79482e47b4246ef2fbea936,16f09bafb76b4eafe237303e7968ba864a4b0d81310fba64dac44a50a7cdb0db
2026-03-11T14:47:01.482267,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,9c06692da01ed8e13ef919ea318fdeb8c8694256b704ef5600ae43dfeadf7f2c,3a1337e9699e7f9df6be8102d071cdd796ee8a27c79482e47b4246ef2fbea936
2026-03-11T18:16:24.386239,ORDER_FILLED,,BUY,EURUSD,BUY,0.0,1.1536,1.1686,0.01,,,ORDER_FILLED,0,1076176f722f2f0f7bbfc34fa39a00c5a7f76fa48fd0099b11b7f7a1e7da9ee0,9c06692da01ed8e13ef919ea318fdeb8c8694256b704ef5600ae43dfeadf7f2c
2026-03-11T18:18:42.472016,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,fe890f94afef42cb410f3f31fd556935655fe00fd99d40f03a3f284c61f3c0c8,1076176f722f2f0f7bbfc34fa39a00c5a7f76fa48fd0099b11b7f7a1e7da9ee0
2026-03-11T18:18:44.952168,ORDER_FAILED,,SELL,EURUSD,SELL,0,1.16007,1.15611,0.38,,,"Order failed: retcode=10027 | comment='AutoTrading disabled by client' | last_error=(1, 'Success')",0,6706c5963edac5ac2b3739eb4f74be878274566b55ac5ba8cd91a5251ef7c3b3,fe890f94afef42cb410f3f31fd556935655fe00fd99d40f03a3f284c61f3c0c8
2026-03-11T18:29:56.796778,ORDER_FAILED,,SELL,EURUSD,SELL,0,1.15954,1.1557,0.39,,,"Order failed: retcode=10027 | comment='AutoTrading disabled by client' | last_error=(1, 'Success')",0,e284637320f252f867363ccfa2e496f4f0657b05eff73ceaff1baf9618e43073,6706c5963edac5ac2b3739eb4f74be878274566b55ac5ba8cd91a5251ef7c3b3
2026-03-11T18:44:56.961824,ORDER_FAILED,,SELL,EURUSD,SELL,0,1.1598,1.15579,0.37,,,"Order failed: retcode=10027 | comment='AutoTrading disabled by client' | last_error=(1, 'Success')",0,b03d33636e9965beda64482cc31b0b9e943f1da08a6fd772aa50263502fdebe6,e284637320f252f867363ccfa2e496f4f0657b05eff73ceaff1baf9618e43073
2026-03-11T18:52:10.089148,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,01adbef5816951b37b15eff39cb50da2778fb2799bfcfb18e574d2a98018f4d4,b03d33636e9965beda64482cc31b0b9e943f1da08a6fd772aa50263502fdebe6
2026-03-11T19:02:20.366897,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,e478d52305ae74b5610d2671c1db2b7b2604ff598d7228e01a1a2af9babb7256,01adbef5816951b37b15eff39cb50da2778fb2799bfcfb18e574d2a98018f4d4
2026-03-11T19:30:09.908202,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,4a2483bcfbaba680929cb54c1a6f125113d6c1b4fdf811e28b537f4db44b791e,e478d52305ae74b5610d2671c1db2b7b2604ff598d7228e01a1a2af9babb7256
2026-03-12T16:35:47.979977,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,588ac2cd652b3ee69b3fe9806f3a9d151cdcaff29e9469e1899a772f5d795646,4a2483bcfbaba680929cb54c1a6f125113d6c1b4fdf811e28b537f4db44b791e
2026-03-12T17:17:25.334977,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,aafeb1fe08914386378932e72e73f526ef48473ba3ae9342ceff9a991c425c87,588ac2cd652b3ee69b3fe9806f3a9d151cdcaff29e9469e1899a772f5d795646
2026-03-13T12:52:57.714508,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,a84c2c658cb36a232fcd3c946636559b39a2111907bfca3b7b25c0915a315a60,aafeb1fe08914386378932e72e73f526ef48473ba3ae9342ceff9a991c425c87
2026-03-13T12:59:30.227571,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,8db7011a73f0855c557cd75ca074a46a5b8c90791bb8f928d6b18f2c7f4ade4d,a84c2c658cb36a232fcd3c946636559b39a2111907bfca3b7b25c0915a315a60
2026-03-14T17:11:46.118064,SYSTEM,,ENGINE_START,,,,,,,,,Pairs: ['EURUSD'] | TF: M15,0,8790a041cbe40a02dab759bb78504f313af5586de740c9c2b4c726a4224aa924,8db7011a73f0855c557cd75ca074a46a5b8c90791bb8f928d6b18f2c7f4ade4d
