time,open,high,low,close,volume
2025-02-06 06:00:00,1.43339,1.4338,1.4332,1.43378,170
2025-02-06 06:15:00,1.4337900000000001,1.43414,1.43368,1.43414,151
2025-02-06 06:30:00,1.4341300000000001,1.43461,1.43388,1.43442,167
2025-02-06 06:45:00,1.4344299999999999,1.43514,1.43436,1.43492,244
2025-02-06 07:00:00,1.4349,1.43493,1.4340899999999999,1.4340899999999999,213
2025-02-06 07:15:00,1.43408,1.43441,1.43399,1.43437,265
2025-02-06 07:30:00,1.43438,1.4346700000000001,1.43438,1.4346,160
2025-02-06 07:45:00,1.43461,1.4349,1.43449,1.4348,144
2025-02-06 08:00:00,1.43481,1.43481,1.43418,1.43458,243
2025-02-06 08:15:00,1.43444,1.43458,1.43427,1.43448,186
2025-02-06 08:30:00,1.43448,1.43461,1.4340600000000001,1.43428,235
2025-02-06 08:45:00,1.43428,1.4347400000000001,1.43428,1.43455,283
2025-02-06 09:00:00,1.43457,1.43517,1.43436,1.43516,386
2025-02-06 09:15:00,1.43517,1.43527,1.43466,1.4349,292
2025-02-06 09:30:00,1.4349,1.43615,1.4347699999999999,1.43571,346
2025-02-06 09:45:00,1.43571,1.4363299999999999,1.43561,1.4359899999999999,565
2025-02-06 10:00:00,1.43598,1.43622,1.4350399999999999,1.43586,585
2025-02-06 10:15:00,1.43585,1.4363299999999999,1.4356,1.4359600000000001,500
2025-02-06 10:30:00,1.43601,1.43644,1.43568,1.43644,506
2025-02-06 10:45:00,1.43645,1.43665,1.4357,1.4358,422
2025-02-06 11:00:00,1.4358,1.43605,1.43548,1.43567,386
2025-02-06 11:15:00,1.4356200000000001,1.43663,1.43561,1.43643,381
2025-02-06 11:30:00,1.43647,1.43655,1.4355,1.43566,365
2025-02-06 11:45:00,1.43568,1.43614,1.43541,1.43598,368
2025-02-06 12:00:00,1.43597,1.43598,1.4353,1.43558,451
2025-02-06 12:15:00,1.43557,1.43561,1.43476,1.43497,279
